name,city,area,rating,rating_count,cusine,cost_for_two,online_order,table_reservation,delivery_only
Joshi Food Corner,Mumbai,Vashi,3.2,7,Street Food,400.0,True,False,False
MMU's Thali,Aurangabad,Usmanpura,2.9,7,North Indian,400.0,False,False,False
Biryani Point,Delhi NCR,Indirapuram,3.6,55,Biryani,500.0,True,False,False
The Bridge - The Park,Kolkata,Park Street Area,4.1,630,"Italian, Continental",300.0,True,True,False
Samrat Cakes & Bakes,Delhi NCR,"Sector 16, Faridabad",0.0,0,Bakery,350.0,False,False,False
Hotel Kadamba Veg,Bengaluru,Kengeri,3.9,93,"South Indian, North Indian, Chinese, Street Food, Juices",450.0,False,False,False
Flavours Restaurant - Hotel Doon Castle,Dehradun,Kaonli,3.3,14,"North Indian, Chinese, Continental",800.0,True,False,False
Blessed Bites,Pune,Pimple Saudagar,3.1,4,"Fast Food, Street Food, Rolls",200.0,True,False,False
Aqua Java,Kolkata,Hatibagan,3.7,286,"Cafe, Mexican, Continental, Chinese, Italian",750.0,True,False,False
Cafe Diva,Delhi NCR,R K Puram,4.0,370,"European, Italian, Salad, Asian",2000.0,True,True,False
Roshani Cakes,Delhi NCR,Crossing Republik,0.0,0,Bakery,300.0,False,False,False
Snoopys Food Hub,Delhi NCR,Mayur Vihar Phase 3,3.4,23,"North Indian, Bengali, Rolls",400.0,True,False,False
Pepper Pods,Delhi NCR,Kavi Nagar,3.7,170,"North Indian, Chinese, Mughlai",750.0,True,True,False
Mahadev Juice Corner,Delhi NCR,Laxmi Nagar,0.0,0,Juices,100.0,False,False,False
Rasgulla Point,Delhi NCR,"Sector 17, Gurgaon",0.0,0,Street Food,300.0,False,False,True
Pagal About Pasta,Delhi NCR,Uttam Nagar,3.3,0,Fast Food,150.0,True,False,True
New Sanjha Chulla - Garden Restaurant,Ahmedabad,Adalaj,3.5,165,"North Indian, Chinese, Fast Food",650.0,False,False,False
Amma's Pastries,Kochi,Kakkanad,3.8,73,"Bakery, Desserts",200.0,False,False,False
Hunger Bites,Delhi NCR,Prashant Vihar,3.1,14,"Chinese, North Indian",300.0,False,False,False
Cafe Coffee Day,Kolkata,Chinar Park,3.7,175,"Cafe, Desserts, Beverages",600.0,False,False,False
Mad Over Donuts,Mumbai,Ghatkopar West,4.0,218,"Desserts, Beverages",450.0,True,False,False
Bangaliaana,Kolkata,Belghoria,3.0,132,"North Indian, Chinese, Bengali, Fast Food",300.0,True,False,False
The ThickShake Factory,Hyderabad,Habsiguda,4.2,377,"Beverages, Desserts",300.0,True,False,False
Safa Dine,Mangalore,Balmatta,3.5,11,"Biryani, Kerala, North Indian, South Indian",300.0,True,False,False
Punjab Express,Bengaluru,New BEL Road,3.3,0,North Indian,350.0,False,False,False
Street Of Thugs,Delhi NCR,Vikaspuri,3.8,43,Chinese,500.0,True,False,False
Hot Attack Restaurant,Bengaluru,Whitefield,0.0,0,"North Indian, Chinese, Biryani",500.0,False,False,False
Chafekar Dugdha Mandir,Nagpur,Sitabuldi,3.5,22,"South Indian, Fast Food",300.0,True,False,False
Prakash Bhojanalya,Dehradun,Race Course,2.9,4,North Indian,400.0,True,False,False
Roots,Bengaluru,Koramangala 1st Block,4.5,2052,"North Indian, South Indian, Chinese, Continental, Mangalorean",300.0,True,True,False
Hyderabad Chefs,Hyderabad,Kukatpally,3.6,1535,"North Indian, Chinese",600.0,True,False,False
O'Biryani,Chennai,Kanchipuram District,2.8,4,"Biryani, Hyderabadi, North Indian, Mughlai",250.0,True,False,True
Shree Ambica Farsan,Vadodara,Nizampura,0.0,0,"Street Food, Mithai",200.0,False,False,False
Super Foodies,Mumbai,"Hill Road, Bandra West",0.0,0,"Italian, Chinese, Beverages",350.0,False,False,False
WOW! Momo,Kolkata,Dalhousie BBD Bagh,0.0,0,Momos,350.0,True,False,False
South Junction,Kolkata,New Town,3.5,85,South Indian,150.0,True,False,False
Sher E Punjab Paji,Bhopal,TT Nagar,3.4,57,"North Indian, Mughlai",600.0,True,False,False
Gaan Point Cafe,Kolkata,Gariahat,3.2,9,"Cafe, Fast Food",500.0,False,False,False
